date,rainfall_mm,SPI_1,SPI_category
1987-07-01,88.46000000000001,-0.3019714862291777,Near Normal
1987-08-01,180.88,1.2575496759425615,Moderately Wet
1987-09-01,92.45,-0.1656794500122456,Near Normal
1987-10-01,68.4,-0.5183208986800344,Near Normal
1987-11-01,107.81,0.7423897074197973,Near Normal
1987-12-01,95.76,1.5718932539345045,Very Wet
1988-01-01,24.19,-0.5249473663063678,Near Normal
1988-02-01,22.87,-0.7209642394469449,Near Normal
1988-03-01,90.02000000000001,0.3216340192443878,Near Normal
1988-04-01,153.82,0.7161329414768721,Near Normal
1988-05-01,60.94,-1.34300529833656,Moderate Drought
1988-06-01,49.19,-1.4608682964132362,Moderate Drought
1988-07-01,116.66,0.24787902175570795,Near Normal
1988-08-01,62.650000000000006,-0.6208416282004774,Near Normal
1988-09-01,122.5,0.3307421588133042,Near Normal
1988-10-01,65.47,-0.5726612587918014,Near Normal
1988-11-01,87.71,0.32637366729761963,Near Normal
1988-12-01,42.38,-0.2988463950278131,Near Normal
1989-01-01,27.58,-0.3469515143780902,Near Normal
1989-02-01,28.610000000000003,-0.48121184929131333,Near Normal
1989-03-01,73.49,-0.1772319964888194,Near Normal
1989-04-01,17.63,-1.5126845277405854,Severe Drought
1989-05-01,119.72,-0.4028507626518496,Near Normal
1989-06-01,125.89,-0.08946783755500734,Near Normal
1989-07-01,111.58,0.1488279373385725,Near Normal
1989-08-01,167.0,1.0370297461319773,Moderately Wet
1989-09-01,93.09,-0.155106743534763,Near Normal
1989-10-01,96.07999999999998,-0.004962138306755558,Near Normal
1989-11-01,6.41,-1.3563180770771577,Moderate Drought
1989-12-01,16.97,-1.1893577191217153,Moderate Drought
1990-01-01,32.330000000000005,-0.09754729707445568,Near Normal
1990-02-01,71.95,1.329044002510963,Moderately Wet
1990-03-01,129.32999999999998,1.5079875025155518,Very Wet
1990-04-01,111.23,0.019126288903471105,Near Normal
1990-05-01,222.98,1.2487374876850537,Moderately Wet
1990-06-01,140.24,0.1671109966642312,Near Normal
1990-07-01,71.98,-0.6233025632359479,Near Normal
1990-08-01,66.8,-0.5549080756994743,Near Normal
1990-09-01,44.59,-0.9563196562814906,Near Normal
1990-10-01,66.44,-0.5546714467411482,Near Normal
1990-11-01,53.45,-0.3827163592986886,Near Normal
1990-12-01,39.17,-0.41134310303023053,Near Normal
1991-01-01,34.83,0.03371808045377243,Near Normal
1991-02-01,6.87,-1.3892635848284962,Moderate Drought
1991-03-01,43.08,-1.0949885323900181,Moderate Drought
1991-04-01,105.55,-0.07382975210655293,Near Normal
1991-05-01,126.94,-0.28737073972494237,Near Normal
1991-06-01,47.53,-1.4905491929152526,Moderate Drought
1991-07-01,41.19,-1.2236535256776018,Moderate Drought
1991-08-01,41.08,-0.9635372251755714,Near Normal
1991-09-01,78.93,-0.3890278743490653,Near Normal
1991-10-01,72.51,-0.4420960249396378,Near Normal
1991-11-01,76.61,0.09663346603611879,Near Normal
1991-12-01,74.59,0.8299757123733905,Near Normal
1992-01-01,22.4,-0.6189333766165795,Near Normal
1992-02-01,25.26,-0.6211370247305756,Near Normal
1992-03-01,75.44,-0.11838210352573685,Near Normal
1992-04-01,107.76,-0.03766199671356814,Near Normal
1992-05-01,53.18,-1.4671223312884711,Moderate Drought
1992-06-01,147.99,0.3056814472007537,Near Normal
1992-07-01,290.83,3.643888347136118,Extremely Wet
1992-08-01,71.5,-0.4802363415417115,Near Normal
1992-09-01,116.6,0.23327502097401145,Near Normal
1992-10-01,56.15,-0.7455118240619951,Near Normal
1992-11-01,213.43,2.92844016302698,Extremely Wet
1992-12-01,124.74,2.5875177392647393,Extremely Wet
1993-01-01,41.94,0.4070368141440542,Near Normal
1993-02-01,41.59,0.06094599464946999,Near Normal
1993-03-01,57.24,-0.667647771181173,Near Normal
1993-04-01,85.34,-0.4045765107003175,Near Normal
1993-05-01,155.33,0.16671206510814607,Near Normal
1993-06-01,113.2,-0.31636577527222925,Near Normal
1993-07-01,190.85,1.6944538156350937,Very Wet
1993-08-01,60.50999999999999,-0.6548410986467781,Near Normal
1993-09-01,247.33,2.392915517538542,Extremely Wet
1993-10-01,42.190000000000005,-1.0044167480074784,Moderate Drought
1993-11-01,70.49000000000001,-0.03003410438914101,Near Normal
1993-12-01,31.55,-0.6783913631481185,Near Normal
1994-01-01,19.73,-0.7591247998167275,Near Normal
1994-02-01,58.69,0.7751909200260025,Near Normal
1994-03-01,37.51,-1.2630879702384126,Moderate Drought
1994-04-01,325.59000000000003,3.5272349070212057,Extremely Wet
1994-05-01,57.09,-1.4045839809222376,Moderate Drought
1994-06-01,77.8,-0.9493198332067965,Near Normal
1994-07-01,147.18,0.842965458057081,Near Normal
1994-08-01,109.36,0.12126830850358544,Near Normal
1994-09-01,49.14,-0.881154321168138,Near Normal
1994-10-01,85.38,-0.20340645680365158,Near Normal
1994-11-01,156.85000000000002,1.7573860560561947,Very Wet
1994-12-01,22.61,-0.9916999517903651,Near Normal
1995-01-01,37.99,0.19963751764945342,Near Normal
1995-02-01,24.08,-0.6704241014524652,Near Normal
1995-03-01,30.55,-1.473136818968184,Moderate Drought
1995-04-01,94.41,-0.25614142408748014,Near Normal
1995-05-01,251.1,1.6985017875056398,Very Wet
1995-06-01,182.82,0.928443871999086,Near Normal
1995-07-01,79.23,-0.4819402872469259,Near Normal
1995-08-01,87.78,-0.22158616450163135,Near Normal
1995-09-01,57.53,-0.7425527471898895,Near Normal
1995-10-01,19.0,-1.4345030794040228,Moderate Drought
1995-11-01,21.11,-1.0520675402713862,Moderate Drought
1995-12-01,52.77,0.06527846358437271,Near Normal
1996-01-01,31.06,-0.1642301088587961,Near Normal
1996-02-01,18.48,-0.904328872336008,Near Normal
1996-03-01,50.12,-0.882525329077146,Near Normal
1996-04-01,66.43,-0.7140481190629148,Near Normal
1996-05-01,133.23000000000002,-0.18676556739665304,Near Normal
